,Sign,Mean Rating,Median Rating,Median RT,Mean Log (RT)
121,Movies,5.0,5,"2,760",7.97
122,Don't mind,5.0,5,"2,849",7.98
123,Cabbage,4.98,5,"2,719",7.97
124,Much,4.98,5,"2,595",7.95
125,World,4.97,5,"2,743",8.0
126,Heart,4.95,5,"2,655",7.98
127,Thursday,4.95,5,"2,906",8.04
128,Chair,4.95,5,"2,504",7.92
129,Breakdown,4.95,5,"2,474",7.85
130,Imagine,4.95,5,"2,676",8.01
131,Age,4.95,5,"2,572",7.93
132,Stress,4.93,5,"2,617",7.95
133,Sad,4.93,5,"2,520",7.91
134,Relationship,4.93,5,"2,535",7.9
135,Summer,4.93,5,"2,765",8.0
136,Children,4.92,5,"2,592",7.9
137,Establish,4.92,5,"2,439",7.92
138,Hair,4.92,5,"2,899",8.0
139,Son,4.92,5,"2,668",8.01
140,Leave,4.9,5,"2,718",7.98
141,My,4.9,5,"2,989",8.05
142,Afraid,4.88,5,"2,561",7.9
143,Surprise,4.88,5,"2,472",7.93
144,Favorite,4.86,5,"2,627",7.95
145,Chocolate,4.83,5,"2,553",7.97
146,Letter,4.83,5,"2,704",8.01
147,Lecture,4.81,5,"2,507",7.91
148,Hamburger,4.81,5,"2,720",7.96
149,America,4.81,5,"2,933",8.04
150,Act,4.81,5,"2,897",8.03
151,Accident,4.8,5,"2,686",7.97
152,Brave,4.8,5,"2,748",8.02
153,Mind,4.78,5,"2,660",7.95
154,Disagree,4.78,5,"3,061",8.04
155,Headache,4.78,5,"2,552",7.95
156,Invite,4.78,5,"2,792",7.99
157,Weak,4.76,5,"2,661",8.0
158,Careful,4.76,5,"2,620",8.0
159,Room,4.75,5,"2,630",7.9
160,Pity,4.73,5,"2,532",7.89
161,Hotdog,4.71,5,"2,704",7.97
162,Cold,4.71,5,"2,669",7.96
163,Language,4.71,5,"2,664",7.99
164,Late,4.71,5,"2,669",7.96
165,Have,4.71,5,"3,055",8.02
166,Friendly,4.71,5,"2,379",7.93
167,France,4.69,5,"2,779",7.98
168,Victim,4.68,5,"2,626",7.94
